sentence,logit,prediction,sentiment_score
"Nike scores a couple of upgrades; shares gain 2% premarket,?",[0.9338513  0.02969018 0.03645853],positive,0.9041611
"""Adidas faces tough H2 as growth falters in Western Europe, Wells Fargo says"",?",[0.01731168 0.95496625 0.02772209],negative,-0.93765455
"Two women file workplace discrimination lawsuit against Nike,?",[0.02223315 0.90416723 0.07359957],negative,-0.8819341
"Nike declares $0 20 dividend,?",[0.05990263 0.68467885 0.2554185 ],negative,-0.62477624
"Morgan Stanley positive on Nike,?",[0.1505371  0.61791027 0.23155263],negative,-0.46737316
"Pay increases at Nike,?",[0.40113804 0.3728158  0.22604617],positive,0.02832225
"Nike sees World Cup boost,?",[0.7430593  0.05686886 0.20007186],positive,0.6861904
"Nike wins fake imports case,?",[0.02713936 0.89636046 0.07650025],negative,-0.8692211
"World Cup: Nike vs  Adidas,?",[0.03787909 0.32190976 0.64021116],neutral,-0.28403068
"Nike still top athletic brand of women,?",[0.14419003 0.03179418 0.8240158 ],neutral,0.11239585
"World Cup fever filters down to some bottom lines,?",[0.04093086 0.6046357  0.3544335 ],negative,-0.56370485
"Nike favored to beat Adidas at World Cup,?",[0.6433171  0.13710031 0.21958262],positive,0.50621676
"Celebrity news: Is Nike shifting to the Lululemon marketing model ,?",[0.27014166 0.01128573 0.7185726 ],neutral,0.25885594
"Nike down nearly 3% as Federer exits,?",[0.01016274 0.9741809  0.01565642],negative,-0.9640181
"""Nike +9% as North America sales return to growth, beating estimates"",?",[0.93161243 0.03998728 0.02840031],positive,0.89162517
"""Nike beats by $0 05, beats on revenue"",?",[0.5226218  0.0526017  0.42477655],positive,0.47002012
"Dueling analysts on Nike,?",[0.13079433 0.28290105 0.5863046 ],neutral,-0.15210672
"Investors bid down multinationals amid U S -China tension,?",[0.01753567 0.94056904 0.04189518],negative,-0.92303336
"Credit Suisse previews Nike,?",[0.0441661  0.20220436 0.7536295 ],neutral,-0.15803826
"Stock watch ahead of World Cup,?",[0.04258944 0.1401455  0.81726503],neutral,-0.097556055
"Adidas takes World Cup lead over Nike,?",[0.38841316 0.08065628 0.5309306 ],neutral,0.3077569
"World Cup to provide summer boost to sporting goods sector,?",[0.8345558  0.01465739 0.15078682],positive,0.8198984
"Sporting goods sector reacts to Dick's stunner,?",[0.04319229 0.6406478  0.31615984],negative,-0.59745556
"Nike and Fanatics close in on MLB deal,?",[0.13485715 0.02214782 0.842995  ],neutral,0.11270933
"Nike breaks to new all-time high,?",[0.82567745 0.04988127 0.12444128],positive,0.7757962
"""Pershing Square added United Technologies, exited Nike in Q1"",?",[0.05100158 0.03605337 0.91294503],neutral,0.014948204
"Nike declares $0 20 dividend,?",[0.05990263 0.68467885 0.2554185 ],negative,-0.62477624
"Four more execs depart Nike,?",[0.03339919 0.7258437  0.24075702],negative,-0.69244456
"Nike CEO issues company-wide apology,?",[0.01976498 0.91510147 0.06513358],negative,-0.8953365
"Nike promotes another woman to top management position,?",[0.14826494 0.02789108 0.82384396],neutral,0.12037387
"A healthy reason to like Nike,?",[0.19998871 0.0366228  0.76338845],neutral,0.1633659
"Nike expected to see more management turnover,?",[0.07461489 0.80590886 0.11947628],negative,-0.731294
"Nike's footwear chief latest exec to exit,?",[0.02335695 0.8200955  0.15654759],negative,-0.7967385
"Another Nike exec exits,?",[0.02138369 0.900999   0.07761735],negative,-0.8796153
"Winners and losers for teenager attention,?",[0.09431027 0.3208294  0.5848604 ],neutral,-0.22651912
"Nike makes second acquisition in less than a month,?",[0.45083767 0.06232647 0.48683596],neutral,0.3885112
"Nike HR chief pens memo on gender and racial disparities: WSJ,?",[0.03997444 0.30043182 0.6595937 ],neutral,-0.26045737
"Nike looks to move away from boy's club label,?",[0.06735531 0.21706137 0.7155833 ],neutral,-0.14970607
"Nike signs long-term deal with the NFL,?",[0.69980776 0.02134406 0.27884817],positive,0.6784637
"Nike Air flying higher again,?",[0.23790942 0.05729969 0.70479083],neutral,0.18060973
"Nike acquires Zodiac; post-earnings gains rise to 6%,?",[0.9016047  0.03592974 0.06246557],positive,0.865675
"""Nike +2 5% as revenues, inventories grow in Q3"",?",[0.65956855 0.07204126 0.26839024],positive,0.5875273
"Nike EPS of $0 68,?",[0.09076924 0.65601283 0.25321794],negative,-0.5652436
"Report: Ackman cashes out Nike stake at 32% gain,?",[0.72596514 0.04369775 0.23033714],positive,0.68226737
"Nike VP forced out after investigation,?",[0.01511791 0.93019474 0.05468729],negative,-0.91507685
"Deep bench at Nike seen as a positive,?",[0.6724835  0.12666821 0.20084825],positive,0.5458153
"Nike Brand President Edwards to retire; Parker to stay as Chairman/CEO,?",[0.02638336 0.07473861 0.898878  ],neutral,-0.04835525
"Credit Suisse sees 20% upside on Nike,?",[0.68591154 0.20812157 0.10596684],positive,0.47778997
"Advertisers flee InfoWars YouTube channel,?",[0.0338835  0.22547045 0.74064606],neutral,-0.19158696
"""Foot Locker down 8 5% after results; Nike, UA, Finnish Line dinged too"",?",[0.01015386 0.97523546 0.01461059],negative,-0.9650816
"Amazon might have the OS of future retail,?",[0.10437738 0.00839221 0.8872304 ],neutral,0.095985174
"Nike declares $0 20 dividend,?",[0.05990263 0.68467885 0.2554185 ],negative,-0.62477624
"Consumer favorites routed along with rest of market,?",[0.12075476 0.0885689  0.79067636],neutral,0.032185853
"WSJ: Ackman has purchased passive stake in Nike,?",[0.04385952 0.00591747 0.950223  ],neutral,0.03794205
"""Nike +3% as Wedbush upgrades, says new footwear styles 'notably higher'"",?",[0.9387826  0.03037987 0.03083754],positive,0.9084027
"Nike names new marketing boss,?",[0.04568049 0.08996738 0.8643521 ],neutral,-0.0442869
"Adidas aims to double U S  market share,?",[0.9352587  0.01351269 0.05122873],positive,0.921746
"Buckingham Research updates on Nike and Under Armour,?",[0.04148497 0.0299712  0.9285438 ],neutral,0.011513768
"""Boeing, Caterpillar top Dow 2017 standings; GE lags far behind"",?",[0.20404077 0.4746399  0.3213193 ],negative,-0.27059913
"Nike -3% as margin pressure outweighs above-consensus results,?",[0.06827757 0.88920283 0.04251967],negative,-0.82092524
"Nike beats margin expectations,?",[0.83672714 0.07489973 0.08837313],positive,0.7618274
"""Nike beats by $0 06, beats on revenue"",?",[0.5388186  0.05321063 0.40797073],positive,0.48560795
"Analysts confident on Nike ahead of earnings,?",[0.5178674  0.11600196 0.36613065],positive,0.40186542
"Guggenheim positive on Nike,?",[0.49028617 0.25573134 0.25398242],positive,0.23455483
"Nike to showcase next-gen retail concepts at new flagstore store,?",[0.17459252 0.01197633 0.81343114],neutral,0.1626162
"HSBC Securities cools on Nike,?",[0.19503063 0.35036513 0.4546042 ],neutral,-0.1553345
"Foot Locker and Nike expand partnership,?",[0.8497131  0.0198473  0.13043961],positive,0.8298658
"Nike and Under Armour jump in early trading,?",[0.17305556 0.2925171  0.53442734],neutral,-0.11946154
"Nike declares $0 20 dividend,?",[0.05990263 0.68467885 0.2554185 ],negative,-0.62477624
"Top portfolio adds and drops from Eminence Capital,?",[0.01541336 0.9280028  0.05658387],negative,-0.91258943
"Retail on watch after magic wears off at Under Armour,?",[0.04863802 0.48344934 0.46791267],negative,-0.43481132
"Nike to launch pants studio in 5K stores,?",[0.07606596 0.00911    0.914824  ],neutral,0.06695597
"Lululemon lower on report of Nike yoga investment,?",[0.0124947  0.96791875 0.0195866 ],negative,-0.9554241
"Sporting goods sector rides out Nike investor day,?",[0.26373008 0.08226954 0.6540004 ],neutral,0.18146053
"Nike rallies as execs lay out future goals,?",[0.2514228  0.09580509 0.6527721 ],neutral,0.1556177
"Skechers lights a torch in retail sector,?",[0.07911439 0.04030939 0.88057613],neutral,0.038805004
"Nike falls after Goldman Sachs warns on inventory,?",[0.01429935 0.9606817  0.02501895],negative,-0.94638234
"Puma a star performer in sporting goods sector,?",[0.13477927 0.02465045 0.8405703 ],neutral,0.11012883
"Teenagers pick their favorite brands,?",[0.07058271 0.05149326 0.877924  ],neutral,0.019089453
"Profit beat for Nike despite F/X pressure,?",[0.7468458  0.19003859 0.06311562],positive,0.55680716
"""Nike beats by $0 09, misses on revenue"",?",[0.35722357 0.25653845 0.38623795],neutral,0.10068512
"Adidas exec reportedly charged in college basketball scandal,?",[0.03137025 0.7128658  0.2557639 ],negative,-0.6814956
"Major college basketball scandal to be revealed,?",[0.0402251  0.39951962 0.5602553 ],neutral,-0.35929453
"NFL corporate sponsors speak out,?",[0.05052583 0.05539369 0.89408046],neutral,-0.004867859
"Susquehanna warns on basketball headaches for Nike,?",[0.07007851 0.32540885 0.60451263],neutral,-0.25533032
"Adidas stuns with basketball shoes momentum,?",[0.08135188 0.36512536 0.5535227 ],neutral,-0.28377348
"Deutsche Bank sees rewards for patient Nike investors,?",[0.663332   0.01798421 0.31868386],positive,0.6453478
"Bernstein launches new coverage in retail sector,?",[0.58169585 0.01223771 0.40606648],positive,0.5694581
